"","ID","decimalLongitude","decimalLatitude","Log.S.AllGrp","AgrBasMp","WetLndBasMp","Dis2Cost","HII","Slope30mAgg","NDVI","MAT","PrecSea"
"41",49,11.81138976,54.78619045,1.00608671307564,0,0.067029171,599.6878052,41.07918549,3.278185129,0.622666657,8.8,18.09147072
"42",50,11.88381385,55.55263075,1.00728722810745,0,0.114322282,11211.45898,18,5.656713963,0.66900003,8.098109436,19.53801727
"43",51,11.88474626,55.56576665,1.00808866024017,0.015618757,0.098398171,9282.022461,22.09284782,4.544959068,0.661111116,8.10247879,19
"44",52,11.99150258,56.01851757,0.973271864652634,0,0,623.5741577,35,1.121611834,0.506555557,8.427306366,22
"45",54,12.07340871,56.04420107,0.983383202552795,0,0,1664.330078,22,3.852818966,0.693333328,8.3,22.03574753
"46",55,12.10033259,56.02259609,0.978075015544891,0.084214479,0.432369828,4492.521973,30,2.136884451,0.614333332,8.397376251,22.93432617
"47",56,12.25085013,55.98726198,0.98729110956192,0.278601736,0.073933184,13220.55273,30,2.683739901,0.556114256,8.3,23
"48",58,12.27018454,55.0399262,0.984196120500565,0.004225658,0.025791472,758.8251953,10.34974289,1.52916348,0.564969718,8.682121277,19
"49",59,12.27163111,55.96826784,0.994900119304657,0.089899495,0.104075253,15200.34375,37.59711838,3.49109292,0.634444416,8.2,23.28637505
"50",60,12.27208166,55.95692068,0.989978122711182,0.039680917,0.142568633,14868.71875,40.67929459,3.709005594,0.606222212,8.225579071,23.74420738
"51",61,12.29278869,55.98460376,0.999748718738556,0,0.120386772,14320.90625,29,3.623319864,0.665942848,8,23.4956913
"52",62,12.29951997,55.02428234,0.97825882434845,0.622749805,0.000426485,873.3538208,15.43741703,1.856238484,0.520705879,8.663620758,20
"53",63,12.31617427,55.99989788,0.999123847484589,0,0.179556996,11738.4375,26,2.871899128,0.606000006,7.9,21.85531044
"54",64,12.45141793,54.96752392,0.975618982315063,0.363595426,0.30022788,870.2781982,20.3598423,1.731619716,0.588888884,8.7,20
"55",65,12.45526794,54.9606333,0.973521286249161,0.363595426,0.30022788,870.2781982,20.3598423,1.967599869,0.588888884,8.7,20
"56",66,12.50972317,54.96462732,0.980813610553741,0.068000004,0,2238.438232,20.86979485,7.051499844,0.636666656,8.20239563,20
"57",67,12.52658146,54.98604161,0.974227559566498,0.266315341,0.004085997,918.7474365,14,7.760801315,0.620444417,7.980390167,19.59603119
"58",68,12.5389131,54.97290273,0.974633479118347,0,0.006595219,303.6282043,14,6.025370598,0.674000025,8.050456238,18
"59",69,12.53898781,54.96620118,0.972469121217728,0.094480641,0.01436753,496.262085,14,7.353720188,0.68011111,8.085844421,18.85844612
"60",70,12.53900706,54.98049301,0.975343775749206,0,0.014549525,19.25263214,17,6.874098778,0.617666662,8.3,18
"61",71,8.080258493,55.56292804,0.984101587533951,0,0.022564534,346.9189453,17,2.092594862,0.314111114,9.006861877,30
"62",72,8.128703025,56.31348114,1.02609862685204,0,0.004331348,479.5455322,23.98020744,1.124059677,0.318333328,8.7,31
"63",73,8.136246233,56.22776563,1.04120987057686,0.124260359,0.014551003,22.81744957,17.49905205,1.449993849,0.378057152,8.8,31
"64",74,8.162359036,56.31803006,1.0348456799984,0.673152804,0.118029937,1047.254883,34,0.991594851,0.530444443,8.7,31
"65",75,8.169670368,55.68438777,0.989746797084808,0.039751679,0.052101064,1394.05249,22,1.934186578,0.678514302,8.943288422,30
"66",77,8.182877548,55.77354752,1.00531093478203,0,0.01799557,587.996521,18,2.867134333,0.279888898,8.9,30.16041183
"67",78,8.19077075,55.69423108,0.995074647665024,0.018274928,0,2056.627441,23.11241722,1.383077502,0.635200024,8.90750351,30
"68",79,8.195221696,56.29494446,1.03049092292786,0.56134057,0.017594671,2523.196045,34,1.1830827,0.536777794,8.7,31
"69",80,8.21282134,55.79507754,1.00591036677361,0.090220831,0.02821693,2577.430176,34.79541397,2.08688879,0.642888904,8.9,30
"70",81,8.216409166,55.6726212,0.984091180562973,0.364484191,0.078098461,4832.717285,24.1537838,1.555708289,0.58322221,8.890616608,30
"71",82,8.241796699,55.67383734,0.981629186868668,0.62298882,0.081760354,5505.385254,30,2.0296278,0.648999989,8.967912292,30
"72",83,8.372399908,56.17065017,1.00666062235832,0.053162992,0.238718316,12327.82227,28.75466347,2.499476194,0.599777758,8.510478973,30
"73",84,8.378025751,56.16754556,1.00958542227745,0.053162992,0.238718316,11544.14941,18.82623672,1.244738579,0.599777758,8.6,30
"74",85,8.388856329,56.16729257,1.01061913371086,0.000201329,0.078820214,12202.01758,18,1.964786053,0.651085734,8.542435455,30
"75",86,8.493946977,56.2452577,1.00503461956978,0,0.045316916,13908.39453,18.5400219,2.911413908,0.610514283,8.305079651,28.98867607
"76",87,8.507933548,56.24883485,1.00407385230064,0.047030378,0.056736141,14724.96973,21,3.859211445,0.617555559,8.308548737,28.98412704
"77",88,8.560815489,57.03741516,1.04873215556145,0.001266906,0.011436398,2762.743408,22,1.886857271,0.574588239,8.545272827,28
"78",89,8.642470696,57.06436271,1.05359681248665,0,0.028533332,5101.077637,20.17977142,2.52640748,0.615999997,8.493817139,27
"79",92,8.874824156,57.044871,1.03617118597031,0,0.010066667,5279.021973,22,2.144955158,0.616571426,8.5,26
"80",93,8.897732161,55.1432163,1.02551276087761,0.384178638,0,13846.6543,23.73745918,1.871895313,0.653333306,8.7,25.41579628
"81",94,8.91187667,57.04493901,1.0364147901535,0.058515254,0.001268442,4416.36084,22,2.535613537,0.74444443,8.526262665,26
"82",95,8.916948894,57.05073517,1.03331065177917,0.014520714,0.021831844,5349.822754,26.64200974,2.535613537,0.684571445,8.5,25.7658577
"83",96,8.929984696,57.05433542,1.03790473341942,0.215620786,0.29342106,5004.952148,23.2089901,1.928463697,0.643777788,8.6,26
"84",97,8.935220188,55.17319834,1.02913440465927,0,0.017855341,15763.69824,14,2.110010386,0.633333325,8.621538544,25.51353264
"85",98,8.949862276,55.18478471,1.02338474392891,0.024566667,0.0142,16857.2168,20.90487099,1.995337367,0.662444472,8.6,25
"86",99,8.950998317,55.20709468,1.0289564371109,0,0.045231663,17434.04883,26,2.332460403,0.707444429,8.6,25
"87",100,8.951189918,57.14458777,1.02990225553513,0,0,351.9997864,18,1.02737093,0.581555545,8.585152435,25.23327065
"88",101,8.959030055,55.01130816,1.00850195288658,0.139956057,0.594997108,12149.54883,26,2.105444431,0.610444427,8.8,25
"89",102,8.974026422,55.01528364,1.00212513208389,0.009552846,0.11361789,12238.45508,26,2.120506048,0.659444451,8.8,25
"90",103,8.984554332,55.01777035,1.00440000295639,0.339640319,0.364026576,13387.27051,26,2.007204533,0.665000021,8.8,25
"91",104,9.05938754,55.29300077,1.03819838762283,0.278563142,0.135610506,24663.05664,40,2.274725437,0.587888896,8.579143524,24
"92",105,9.067590023,55.2925393,1.03850047588348,0.278563142,0.135610506,25642.82227,40,2.652574778,0.59466666,8.674512482,24
"93",106,9.358896311,56.10335589,1.04672830700874,0,0.046469703,41485.53906,29.50776672,2.279930592,0.617444456,7.9,22
"94",107,9.39829759,56.09298382,1.0447201192379,0.075547993,0.125547096,39327.00781,35.30273819,2.371912718,0.624555528,7.9,22
"95",108,9.415083839,56.08843609,1.04630732536316,0.186772645,0.019334756,37914.64844,33.78208542,3.253348827,0.631444454,7.929600525,22
