ID,decimalLongitude,decimalLatitude,Log.S.AllGrp,AgrBasMp,WetLndBasMp,Dis2Cost,HII,Slope30mAgg,NDVI,MAT,PrecSea
35,11.48720906,54.75457898,2.195899652,0.727926731,0.035194412,8425.884766,43.3411293,1.950110555,0.457555562,8.8,19.79625893
36,11.5345545,55.31595569,2.176091259,0.85986805,0.006396036,11568.12695,26,1.83071208,0.566628575,8.404906464,20
37,11.53621444,55.38019601,2.31386722,0.498401791,0.002154124,19219.43945,22,2.650125027,0.657999992,8.387572479,18
39,11.54670581,55.37740238,2.567026366,0.517326772,0.039395053,18510.07227,15.93582821,3.46619153,0.602941155,8.596292877,18.01644897
40,11.55167321,54.75036513,2.51054501,0,0.184464529,7536.019531,28.37314034,3.11135149,0.515555561,8.8,19.98144531
41,11.55493636,54.75928616,2.536558443,0.600502312,0.072372243,6683.653809,47,1.083533764,0.466444433,8.8,19
42,11.55686098,55.37993511,2.40654018,0.111670181,0.039088,19767.39844,15.82482338,4.450008869,0.660823524,8.480106354,19
43,11.59249883,55.39912891,2.532754379,0.346299261,0.069464661,22338.4082,42.40423203,3.390764952,0.64644444,8.4,19.79617691
44,11.59410449,55.38369919,2.46686762,0.000100878,0.029120011,20483.63867,22,2.864704132,0.655222237,8.333628082,20
47,11.775974,55.51610493,2.46834733,0.151785478,0.003872382,15841.32617,22,3.871232986,0.615777791,8.2,21
48,11.80509545,54.78049188,2.428134794,0,0.067029171,1481.891113,42,2.791095495,0.633371413,8.8,18.08323479
49,11.81138976,54.78619045,2.584331224,0,0.067029171,599.6878052,41.07918549,3.278185129,0.622666657,8.8,18.09147072
50,11.88381385,55.55263075,2.693726949,0,0.114322282,11211.45898,18,5.656713963,0.66900003,8.098109436,19.53801727
51,11.88474626,55.56576665,2.564666064,0.015618757,0.098398171,9282.022461,22.09284782,4.544959068,0.661111116,8.10247879,19
52,11.99150258,56.01851757,2.482873584,0,0,623.5741577,35,1.121611834,0.506555557,8.427306366,22
54,12.07340871,56.04420107,2.440909082,0,0,1664.330078,22,3.852818966,0.693333328,8.3,22.03574753
55,12.10033259,56.02259609,2.58546073,0.084214479,0.432369828,4492.521973,30,2.136884451,0.614333332,8.397376251,22.93432617
56,12.25085013,55.98726198,2.491361694,0.278601736,0.073933184,13220.55273,30,2.683739901,0.556114256,8.3,23
